"rb";"nazivDobavljaca";"nazivPruzatelja";"oib";"adresaPruzatelja";"rbDatumRacuna";"brMedijskihUsluga";"iznosCijeneBezPopusta";"popustPostotak";"placeniIznosPopust";"obveznik_id"
"42";"AMM-ALL MARKET MEDIA d.o.o.";"RADIO QUIRINUS";"92923187236";"ANTE STARČEVIĆA 46, SISAK";"2056/001/1 / 30.06.2020";"21";1830.86;30;1602;"1893640494"
"43";"AMM-ALL MARKET MEDIA d.o.o.";"RADIO SLJEME";"92923187236";"PRISAVLJE 3, ZAGREB";"2058/001/1 / 30.06.2020";"5";3456;50;2160;"1893640494"
"44";"AMM-ALL MARKET MEDIA d.o.o.";"RADIO SLJEME";"92923187236";"PRISAVLJE 3, ZAGREB";"2058/001/1 / 30.06.2020";"6";3456;50;2160;"1893640494"
"45";"AMM-ALL MARKET MEDIA d.o.o.";"RADIO SLJEME";"92923187236";"PRISAVLJE 3, ZAGREB";"2058/001/1 / 30.06.2020";"5";3456;50;2160;"1893640494"
"46";"AMM-ALL MARKET MEDIA d.o.o.";"RADIO SLJEME";"92923187236";"PRISAVLJE 3, ZAGREB";"2058/001/1 / 30.06.2020";"5";3456;50;2160;"1893640494"
"47";"AMM-ALL MARKET MEDIA d.o.o.";"RADIO TEREZIJA";"92923187236";"ŠETALIŠTE DR. IVŠE LEBOVIĆA 28, BJELOVAR";"2052/001/1 / 30.06.2020";"19";2185.71;30;1912.5;"1893640494"
"48";"AMM-ALL MARKET MEDIA d.o.o.";"SUPER RADIO";"92923187236";"TRG ČAZMANSKOG KAPTOLA 13, ČAZMA";"2054/001/1 / 30.06.2020";"18";1884;10;2119.5;"1893640494"
"49";"E-RADIO d.o.o,";"E-RADIO d.o.o,";"23066992459";"GAJEVA 25, VELIKA GORICA";"186/001/1 / 30.06.2020";"1";2000;5;2375;"1893640494"
"50";"MEDIARITAM d.o.o.";"MEDIARITAM d.o.o.";"95283343666";"FRANA GALOVIĆA BB, KRAPINA";"165-841/PP1/1 / 30.06.2020";"24";9600;0;12000;"1893640494"
"51";"MOZAIK-MEDIA 19";"MOZAIK-MEDIA 19";"34843262857";"VLATKA MAČEKA 19, BJELOVAR";"376-01-91 / 30.06.2020";"1";1000;0;1250;"1893640494"
"52";"PUČKO OTVORENO UČILIŠTE DUGO SELO";"PUČKO OTVORENO UČILIŠTE DUGO SELO";"21105612391";"JOSIPA ZORIĆA 1, DUGO SELO";"20/0000028 / 30.06.2020";"1";2400;0;3000;"1893640494"
"53";"RADIO DRAVA d.o.o.";"RADIO DRAVA d.o.o.";"22549415829";"DOMŽALSKA ULICA 3, KOPRIVNICA";"150-001-40 / 30.06.2020";"1";1900;0;2375;"1893640494"
"54";"RADIO KRIŽEVCI";"RADIO KRIŽEVCI";"91853331754";"A.G. MATOŠA 3, KRIŽEVCI";"262/VP-P01/1 / 01.07.2020";"2";2100;0;2625;"1893640494"
"55";"PETRINJSKI RADIO d.o.o.";"PETRINJSKI RADIO d.o.o.";"82320978169";"MATIJE GUPCA 2, PETRINJA";"292/1/1 / 02.07.2020";"1";1000;0;1000;"1893640494"
"56";"PODRAVSKI RADIO d.o.o.";"PODRAVSKI RADIO d.o.o.";"37530048240";"KRALJA TOMISLAVA 2, ĐURĐEVAC";"244/VP1/1 / 03.07.2020";"2";1000;0;1250;"1893640494"
"57";"RADIO KRIŽEVCI d.o.o.";"RADIO KRIŽEVCI d.o.o.";"91853331754";"A.G. MATOŠA 3, KRIŽEVCI";"270/VP-P01/1 / 04.07.2020";"1";1500;0;1875;"1893640494"
"58";"AMM-ALL MARKET MEDIA d.o.o.";"NARODNI RADIO";"92923187236";"AVENIJA VEĆESLAVA HOLJEVCA 29, ZAGREB";"2074/001/1 / 07.07.2020";"9";7155.01;5;8496.57;"1893640494"
"59";"AMM-ALL MARKET MEDIA d.o.o.";"NARODNI RADIO";"92923187236";"AVENIJA VEĆESLAVA HOLJEVCA 29, ZAGREB";"2074/001/1 / 07.07.2020";"9";7155;5;8496.56;"1893640494"
"60";"AMM-ALL MARKET MEDIA d.o.o.";"NARODNI RADIO";"92923187236";"AVENIJA VEĆESLAVA HOLJEVCA 29, ZAGREB";"2074/001/1 / 07.07.2020";"9";7155;5;8496.56;"1893640494"
"61";"AMM-ALL MARKET MEDIA d.o.o.";"NARODNI RADIO";"92923187236";"AVENIJA VEĆESLAVA HOLJEVCA 29, ZAGREB";"2074/001/1 / 07.07.2020";"9";7155;5;8496.56;"1893640494"
"62";"AMM-ALL MARKET MEDIA d.o.o.";"NOVI RADIO ZADAR";"92923187236";"SPLITSKA ULICA 3, ZADAR";"2091/001/1 / 08.07.2020";"16";3800.94;35;3088.26;"1893640494"
"63";"AMM-ALL MARKET MEDIA d.o.o.";"RADIO BANOVINA";"92923187236";"SLATINA POKUPSKA 80, GLINA";"2093/001/1 / 08.07.2020";"11";1850;10;2081.25;"1893640494"
"64";"AMM-ALL MARKET MEDIA d.o.o.";"RADIO KAJ";"92923187236";"HAENDELOVA 4, ZAGREB";"2098/001/1 / 08.07.2020";"2";752.5;0;940.62;"1893640494"
"65";"AMM-ALL MARKET MEDIA d.o.o.";"RADIO KAJ";"92923187236";"HAENDELOVA 4, ZAGREB";"2098/001/1 / 08.07.2020";"3";752.51;0;940.64;"1893640494"
"66";"AMM-ALL MARKET MEDIA d.o.o.";"RADIO KAJ";"92923187236";"HAENDELOVA 4, ZAGREB";"2098/001/1 / 08.07.2020";"2";752.5;0;940.62;"1893640494"
"67";"AMM-ALL MARKET MEDIA d.o.o.";"RADIO KAJ";"92923187236";"HAENDELOVA 4, ZAGREB";"2098/001/1 / 08.07.2020";"2";752.5;0;940.62;"1893640494"
"68";"AMM-ALL MARKET MEDIA d.o.o.";"RADIO MREŽNICA";"92923187236";"JOZEFINSKA CESTA 8, DUGA RESA";"2096/001/1 / 08.07.2020";"11";1205;20;1205;"1893640494"
"69";"AMM-ALL MARKET MEDIA d.o.o.";"RADIO QUIRINUS";"92923187236";"ANTE STARČEVIĆA 46, SISAK";"2090/001/1 / 08.07.2020";"11";966.86;30;846;"1893640494"
"70";"AMM-ALL MARKET MEDIA d.o.o.";"RADIO SLJEME";"92923187236";"PRISAVLJE 3, ZAGREB";"2092/001/1 / 08.07.2020";"3";1836;50;1147.5;"1893640494"
"71";"AMM-ALL MARKET MEDIA d.o.o.";"RADIO SLJEME";"92923187236";"PRISAVLJE 3, ZAGREB";"2092/001/1 / 08.07.2020";"3";1836;50;1147.5;"1893640494"
"72";"AMM-ALL MARKET MEDIA d.o.o.";"RADIO SLJEME";"92923187236";"PRISAVLJE 3, ZAGREB";"2092/001/1 / 08.07.2020";"2";1836;50;1147.5;"1893640494"
"73";"AMM-ALL MARKET MEDIA d.o.o.";"RADIO SLJEME";"92923187236";"PRISAVLJE 3, ZAGREB";"2092/001/1 / 08.07.2020";"3";1836;50;1147.5;"1893640494"
"74";"AMM-ALL MARKET MEDIA d.o.o.";"RADIO STUBICA";"92923187236";"TOPLIČKA 10, DONJA STUBICA";"2097/001/1 / 08.07.2020";"12";1355.84;25;1271.1;"1893640494"
"75";"AMM-ALL MARKET MEDIA d.o.o.";"RADIO TEREZIJA";"92923187236";"ŠETALIŠTE DR. IVŠE LEBOVIĆA 28, BJELOVAR";"2095/001/1 / 08.07.2020";"11";1254.86;30;1098;"1893640494"
"76";"AMM-ALL MARKET MEDIA d.o.o.";"SUPER RADIO";"92923187236";"TRG ČAZMANSKOG KAPTOLA 13, ČAZMA";"2094/001/1 / 08.07.2020";"10";1040.5;10;1170.56;"1893640494"
"77";"AMM-ALL MARKET MEDIA d.o.o.";"ANTENA ZAGREB";"92923187236";"AVENIJA VEĆESLAVA HOLJEVCA 29, ZAGREB";"2124/001/1 / 09.07.2020";"10";7612.51;5;9039.85;"1893640494"
"78";"AMM-ALL MARKET MEDIA d.o.o.";"ANTENA ZAGREB";"92923187236";"AVENIJA VEĆESLAVA HOLJEVCA 29, ZAGREB";"2124/001/1 / 09.07.2020";"12";7612.51;5;9039.85;"1893640494"
"79";"AMM-ALL MARKET MEDIA d.o.o.";"ANTENA ZAGREB";"92923187236";"AVENIJA VEĆESLAVA HOLJEVCA 29, ZAGREB";"2124/001/1 / 09.07.2020";"10";7612.51;5;9039.85;"1893640494"
"80";"AMM-ALL MARKET MEDIA d.o.o.";"ANTENA ZAGREB";"92923187236";"AVENIJA VEĆESLAVA HOLJEVCA 29, ZAGREB";"2124/001/1 / 09.07.2020";"10";7612.48;5;9039.83;"1893640494"
"81";"AMM-ALL MARKET MEDIA d.o.o.";"ENTER ZAGREB";"92923187236";"AVENIJA VEĆESLAVA HOLJEVCA 29, ZAGREB";"2125/001/1 / 09.07.2020";"7";2248.75;5;2670.39;"1893640494"
"82";"AMM-ALL MARKET MEDIA d.o.o.";"ENTER ZAGREB";"92923187236";"AVENIJA VEĆESLAVA HOLJEVCA 29, ZAGREB";"2125/001/1 / 09.07.2020";"8";2248.75;5;2670.39;"1893640494"
"83";"AMM-ALL MARKET MEDIA d.o.o.";"ENTER ZAGREB";"92923187236";"AVENIJA VEĆESLAVA HOLJEVCA 29, ZAGREB";"2125/001/1 / 09.07.2020";"7";2248.75;5;2670.39;"1893640494"
"84";"AMM-ALL MARKET MEDIA d.o.o.";"ENTER ZAGREB";"92923187236";"AVENIJA VEĆESLAVA HOLJEVCA 29, ZAGREB";"2125/001/1 / 09.07.2020";"7";2248.75;5;2670.39;"1893640494"
"85";"AMM-ALL MARKET MEDIA d.o.o.";"EXTRA FM";"92923187236";"AVENIJA VEĆESLAVA HOLJEVCA 29/I, ZAGREB";"2126/001/1 / 09.07.2020";"7";2248.75;5;2670.39;"1893640494"
"86";"AMM-ALL MARKET MEDIA d.o.o.";"EXTRA FM";"92923187236";"AVENIJA VEĆESLAVA HOLJEVCA 29/I, ZAGREB";"2126/001/1 / 09.07.2020";"8";2248.75;5;2670.39;"1893640494"
"87";"AMM-ALL MARKET MEDIA d.o.o.";"EXTRA FM";"92923187236";"AVENIJA VEĆESLAVA HOLJEVCA 29/I, ZAGREB";"2126/001/1 / 09.07.2020";"7";2248.75;5;2670.39;"1893640494"
"88";"AMM-ALL MARKET MEDIA d.o.o.";"EXTRA FM";"92923187236";"AVENIJA VEĆESLAVA HOLJEVCA 29/I, ZAGREB";"2126/001/1 / 09.07.2020";"7";2248.75;5;2670.39;"1893640494"
"89";"AMM-ALL MARKET MEDIA d.o.o.";"GOLD FM";"92923187236";"KOLODVORSKA 29, VELIKA GORICA";"2114/001/1 / 09.07.2020";"11";2610;5;3099.37;"1893640494"
"90";"AMM-ALL MARKET MEDIA d.o.o.";"GOLD FM";"92923187236";"KOLODVORSKA 29, VELIKA GORICA";"2114/001/1 / 09.07.2020";"12";2610;5;3099.37;"1893640494"
"91";"AMM-ALL MARKET MEDIA d.o.o.";"GOLD FM";"92923187236";"KOLODVORSKA 29, VELIKA GORICA";"2114/001/1 / 09.07.2020";"11";2610;5;3099.37;"1893640494"
"92";"AMM-ALL MARKET MEDIA d.o.o.";"GOLD FM";"92923187236";"KOLODVORSKA 29, VELIKA GORICA";"2114/001/1 / 09.07.2020";"11";2610.01;5;3099.39;"1893640494"
"93";"AMM-ALL MARKET MEDIA d.o.o.";"RADIO DALMACIJA";"92923187236";"KRALJA ZVONIMIRA 14, SPLIT";"2127/001/1 / 09.07.2020";"28";11970;5;14214.38;"1893640494"
"94";"MATIS d.o.o.";"RADIO SAMOBOR";"89844134357";"MIRKA KLEŠČIĆA 1/1, SAMOBOR";"112-1-1 / 16.07.2020";"2";2000;0;2500;"1893640494"
"95";"AMM-ALL MARKET MEDIA d.o.o.";"ANTENA ZAGREB";"92923187236";"AVENIJA VEĆESLAVA HOLJEVCA 29, ZAGREB";"2260/001/1 / 23.07.2020";"1";308.38;0;385.48;"1893640494"
"96";"AMM-ALL MARKET MEDIA d.o.o.";"ANTENA ZAGREB";"92923187236";"AVENIJA VEĆESLAVA HOLJEVCA 29, ZAGREB";"2260/001/1 / 23.07.2020";"1";308.39;0;385.49;"1893640494"
"97";"AMM-ALL MARKET MEDIA d.o.o.";"ANTENA ZAGREB";"92923187236";"AVENIJA VEĆESLAVA HOLJEVCA 29, ZAGREB";"2260/001/1 / 23.07.2020";"1";308.39;0;385.49;"1893640494"
"98";"AMM-ALL MARKET MEDIA d.o.o.";"ANTENA ZAGREB";"92923187236";"AVENIJA VEĆESLAVA HOLJEVCA 29, ZAGREB";"2260/001/1 / 23.07.2020";"1";308.39;0;385.49;"1893640494"
"99";"AMM-ALL MARKET MEDIA d.o.o.";"EXTRA FM";"92923187236";"AVENIJA VEĆESLAVA HOLJEVCA 29/I, ZAGREB";"2047/001/1 / 30.07.2020";"12";3900.75;5;4632.14;"1893640494"
"1";"Krugoval 93,1 MHz d.o.o.";"Krugoval 93,1 MHz d.o.o.";"21271747339";"Vladimira Nazora 25, 43280 Garešnica, Garešnica";"Ponuda 6/19/2020 / 19.06.2020";"3";81.54;0;101.93;"1143707385"
"2";"Podravski radio d.o.o.";"Podravski radio d.o.o.";"37530048240";"Kralja Tomislava 2, 48350 Đurđevac, Đurđevac";"Ponuda br. 43 / 23.06.2020";"3";120;0;150;"1143707385"
"3";"Glas Podravine d.o.o.";"Glas Podravine d.o.o.";"25232881495";"Matije Gupca 2, 48000 Koprivnica, Koprivnica";"Ponuda br. 094K/2020 / 24.06.2020";"3";135;0;168.75;"1143707385"
"4";"Produkcija i ideja j.d.o.o.";"Produkcija i ideja j.d.o.o.";"38866619151";"Dravska ulica 17, 48000 Koprivnica, Koprivnica";"Račun 16-1-1 / 24.06.2020";"1";500;0;500;"1143707385"
"5";"Alfa d.o.o.";"Alfa d.o.o.";"88730888278";"Trg Eugena Kvaternika 7A, 43000 Bjelovar, Bjelovar";"Račun br. 217/1/1000 / 25.06.2020";"1";216;0;270;"1143707385"
"6";"Informativni centar Virovitica d.o.o.";"Informativni centar Virovitica d.o.o.";"01156745523";"Ferde Rusana 1/9, 33000 Virovitica, Virovitica";"Račun 782-1-1 / 25.06.2020";"3";150;0;187.5;"1143707385"
"7";"Radio Križevci d.o.o.";"Radio Križevci d.o.o.";"91853331754";"A.G. Matoša 3, 48260 Križevci, Križevci";"VP Ponuda broj 50/VP-P01/1 / 25.06.2020";"3";270;0;337.5;"1143707385"
"8";"Radio Pitomača d.o.o.";"Radio Pitomača d.o.o.";"73907497566";"Trg kralja Tomislava 12, 33405 Pitomača, Pitomača";"Račun br. 147-1-1 / 25.06.2020";"3";60;0;75;"1143707385"
"9";"Radio Vrbovec d.o.o.";"Radio Vrbovec d.o.o.";"63084848982";"Trg Petra Zrinskog 7a, 10340 Vrbovec, Vrbovec";"Račun br. 170/1/1 / 25.06.2020";"3";240;0;300;"1143707385"
"10";"Radio Daruvar d.o.o.";"Radio Daruvar d.o.o.";"92861896581";"Trg dr. Franje Tuđmana 7, 43500 Daruvar, Daruvar";"R1 račun br. 255-1-1 / 27.06.2020";"3";120;0;150;"1143707385"
"11";"Krugoval 93,1 MHz d.o.o.";"Krugoval 93,1 MHz d.o.o.";"21271747339";"Vladimira Nazora 25, 43280 Garešnica, Garešnica";"Račun br. 20/0000155 / 29.06.2020";"39";885.99;0;1107.49;"1143707385"
"12";"Kosinus, obrt. vl Mario Kos";"Kosinus, obrt. vl Mario Kos";"38945119308";"Ivana Generalića 3/1, 48000 Koprivnica, Koprivnica";"R2 račun br. 289/001/201 / 30.06.2020";"1";1040;0;1300;"1143707385"
"13";"Usuario prom j.d.o.o.";"Usuario prom j.d.o.o.";"34459416563";"Nazorova 5, 10380 Sveti Ivan Zelina, Sveti Ivan Zelina";"Račun br.: 01-01-11 / 30.06.2020";"1";500;20;400;"1143707385"
"14";"Produkcija i ideja j.d.o.o.";"Produkcija i ideja j.d.o.o.";"38866619151";"Dravska ulica 17, 48000 Koprivnica, Koprivnica";"Račun br. 25-1-1 / 01.07.2020";"1";625;0;625;"1143707385"
"15";"Produkcija i ideja j.d.o.o.";"Produkcija i ideja j.d.o.o.";"38866619151";"Dravska ulica 17, 48000 Koprivnica, Koprivnica";"Račun br. 27-1-1 / 01.07.2020";"1";750;0;750;"1143707385"
"16";"Radio Pitomača d.o.o.";"Radio Pitomača d.o.o.";"73907497566";"Trg kralja Tomislava 12, 33405 Pitomača, Pitomača";"Račun br. 170-1-1 / 01.07.2020";"9";180;0;225;"1143707385"
"17";"Mozaik-media d.o.o.";"Mozaik-media d.o.o.";"34843262857";"Vlatka Mačeka 19, 43000 Bjelovar, Bjelovar";"Račun br: 380-01-91 / 02.07.2020";"1";200;0;250;"1143707385"
"1";"Radio Labin d.o.o.";"Radio Labin d.o.o.";"76567298947";"Rudarska 3 B, Labin, Labin";"P2020-0080 / 24.06.2020";"51";2753.5;0;3441.88;"1815316677"
"2";"RADIO BANOVINA d.o.o.";"RADIO BANOVINA d.o.o.";"90924443753";"Slatina Pokupska 80, Sisačko-moslavačka županija";"289/1/1 / 29.06.2020";"20";4357.5;0;5446.88;"1815316677"
"1";"Felix team j.d.o.o.";"E radio";"95488388026";"Gajeva 25, Velika Gorica";"21/20 / 05.06.2020";"1";1500;0;1875;"580246715"
"2";"Felix team j.d.o.o.";"E radio";"95488388026";"Gajeva 25, Velika Gorica";"Račun br.21/20 / 05.06.2020";"143";13850;0;17312.5;"580246715"
"3";"Felix team j.d.o.o.";"Kronike Velike Gorice";"95488388026";"Dalmatinska 7, Gradići, Velika Gorica";"Račun br.21/20 / 05.06.2020";"1";2500;0;3125;"580246715"
"4";"Felix team j.d.o.o.";"Radio Banovina";"95488388026";"Slatina Pokupska 80, Glina";"Račun br.21/20 / 05.06.2020";"65";9150;0;11437.5;"580246715"
"5";"Midas Network d.o.o.";"'Zagorje digital d.o.o. - zagorje.com";"44561205245";"K.Š. Đalskog 4, Zabok";"Ponuda br.0559-2020 / 11.06.2020";"1";5.18;0;6.48;"580246715"
"6";"Midas Network d.o.o.";"24sata d.o.o. za nakladničku djelatnost - 24sata.hr";"44561205245";"Oreškovićeva 6H/1, Zagreb";"Ponuda br.0559-2020 / 11.06.2020";"3";974.71;0;1218.39;"580246715"
"7";"Midas Network d.o.o.";"Adria News Sarl - hr.n1info.com";"44561205245";"Krste Pavletića, Zagreb";"Ponuda br.0559-2020 / 11.06.2020";"1";386.89;0;483.61;"580246715"
"8";"Midas Network d.o.o.";"Brend forum - poslovnifm.com";"44561205245";"Potočnjakova 11, Zagreb";"Ponuda br.0559-2020 / 11.06.2020";"1";1.32;0;1.65;"580246715"
"9";"Midas Network d.o.o.";"Centar za cjeloviti razvoj - bitno.net";"44561205245";"Supilova 50, Split";"Ponuda br.0559-2020 / 11.06.2020";"1";178.36;0;222.95;"580246715"
"10";"Midas Network d.o.o.";"Dalmacija danas d.o.o. - dalmacijadanas.hr";"44561205245";"Matoševa 44, Split";"Ponuda br.0559-2020 / 11.06.2020";"1";474.69;0;593.36;"580246715"
"11";"Midas Network d.o.o.";"DUBROVAČKI DNEVNIK j.d.o.o. - dubrovačkidnevnik.net.hr";"44561205245";"Iva Vojnovića 31A, Dubrovnik";"Ponuda br.0559-2020 / 11.06.2020";"1";43.42;0;54.28;"580246715"
"12";"Midas Network d.o.o.";"Eclectic Digital d.o.o. - poslovnipuls.com";"44561205245";"Buzinski prilaz 10, Zagreb";"Ponuda br.0559-2020 / 11.06.2020";"1";1.28;0;1.6;"580246715"
"13";"Midas Network d.o.o.";"Elektronski Zadar d.o.o. za trgovinu i usluge - ezadar.net.hr";"44561205245";"Šibenska ulica 6d, Zadar";"Ponuda br.0559-2020 / 11.06.2020";"1";31.35;0;39.19;"580246715"
"14";"Midas Network d.o.o.";"Glas Istre novine d.o.o. - glasistre.hr";"44561205245";"Japodska 28, Pula";"Ponuda br.0559-2020 / 11.06.2020";"1";648.5;0;810.62;"580246715"
"15";"Midas Network d.o.o.";"Glas Slavonije d.d. - glas-slavonije.hr";"44561205245";"Ulica Hrvatske Republike 20, Osijek";"Ponuda br.0559-2020 / 11.06.2020";"1";33.82;0;42.28;"580246715"
"16";"Midas Network d.o.o.";"Hrvatski radio Karlovac d.o.o. - karlovacki.hr";"44561205245";"Obala Vladimira Mažuranića 2, Karlovac";"Ponuda br.0559-2020 / 11.06.2020";"1";10.54;0;13.17;"580246715"
"17";"Midas Network d.o.o.";"IN Promocija d.o.o. - emedjimurje.net.hr";"44561205245";"Zrinsko-frankopanska 14, Čakovec";"Ponuda br.0559-2020 / 11.06.2020";"1";67.78;0;84.72;"580246715"
"18";"Midas Network d.o.o.";"Index promocija d.o.o. - index.hr";"44561205245";"Radnička cesta 37b, Zagreb";"Ponuda br.0559-2020 / 11.06.2020";"4";11862.3;0;14827.88;"580246715"
"19";"Midas Network d.o.o.";"Info Pult d.o.o. - osijeknews.hr";"44561205245";"Kozjačka 86/a, Osijek";"Ponuda br.0559-2020 / 11.06.2020";"1";1.38;0;1.72;"580246715"
"20";"Midas Network d.o.o.";"Karydia d.o.o. - zagreb.in";"44561205245";"Jarušćica 19, Zagreb";"Ponuda br.0559-2020 / 11.06.2020";"1";0.06;0;0.08;"580246715"
"21";"Midas Network d.o.o.";"Kosinus usluge, vl. Mario Kos - epodravina.hr";"44561205245";"Ivana Generalića 3/1, Koprivnica";"Ponuda br.0559-2020 / 11.06.2020";"2";26.25;0;32.81;"580246715"
"22";"Midas Network d.o.o.";"Kraft Draft d.o.o. - kaportal.net.hr";"44561205245";"Dr.Vladka Mačeka 14, Karlovac";"Ponuda br.0559-2020 / 11.06.2020";"1";41.94;0;52.42;"580246715"
"23";"Midas Network d.o.o.";"Krug Šibenik d.o.o. - sibenskiportal.rtl.hr";"44561205245";"Mesarske stube 1b, Šibenik";"Ponuda br.0559-2020 / 11.06.2020";"1";1.75;0;2.19;"580246715"
"24";"Midas Network d.o.o.";"Lider media d.o.o. - lider.media";"44561205245";"Trg žrtava fašizma 6, Zagreb";"Ponuda br.0559-2020 / 11.06.2020";"1";111.1;0;138.87;"580246715"
"25";"Midas Network d.o.o.";"Max portal j.d.o.o. - maxportal.hr";"44561205245";"Braće Domany 4, Zagreb";"Ponuda br.0559-2020 / 11.06.2020";"1";48.9;0;61.12;"580246715"
"26";"Midas Network d.o.o.";"Median kreativna rješenja - šibenik.in";"44561205245";"Kralja Zvonimira 16, Šibenik";"Ponuda br.0559-2020 / 11.06.2020";"2";230.02;0;287.53;"580246715"
"27";"Midas Network d.o.o.";"Medjugorje info - medjugorje-info.com";"44561205245";"Gospin trg 1, Međugorje";"Ponuda br.0559-2020 / 11.06.2020";"2";168.72;0;210.9;"580246715"
"28";"Midas Network d.o.o.";"Motus d.o.o. - dnevno.hr";"44561205245";"Tomislavova 11, Zagreb";"Ponuda br.0559-2020 / 11.06.2020";"2";1485.5;0;1856.88;"580246715"
"29";"Midas Network d.o.o.";"Motus d.o.o. - otvoreno.hr";"44561205245";"Tomislavova 11, Zagreb";"Ponuda br.0559-2020 / 11.06.2020";"1";7.12;0;8.9;"580246715"
"30";"Midas Network d.o.o.";"Motus d.o.o. - zagreb.info";"44561205245";"Tomislavova 11, Zagreb";"Ponuda br.0559-2020 / 11.06.2020";"1";70.82;0;88.52;"580246715"
"31";"Midas Network d.o.o.";"OBRIGADO j.d.o.o. - dalmacijanews.hr";"44561205245";"Hrvatske mornarice 10, Split";"Ponuda br.0559-2020 / 11.06.2020";"2";97.2;0;121.5;"580246715"
"32";"Midas Network d.o.o.";"Pametna kuća d.o.o.";"44561205245";"Popovićeva 8, Zagreb";"Ponuda br.0559-2020 / 11.06.2020";"1";8.03;0;10.04;"580246715"
"33";"Midas Network d.o.o.";"Propuls d.o.o. - direktno.hr";"44561205245";"Županići 2E, Zagreb";"Ponuda br.0559-2020 / 11.06.2020";"2";574.37;0;717.96;"580246715"
"34";"Midas Network d.o.o.";"RTL Hrvatska d.o.o. za usluge - buzzara.rtl.hr";"44561205245";"Krapinska 45, Zagreb";"Ponuda br.0559-2020 / 11.06.2020";"1";6.36;0;7.95;"580246715"
"35";"Midas Network d.o.o.";"RTL Hrvatska d.o.o. za usluge - riportal.net.hr";"44561205245";"Krapinska 45, Zagreb";"Ponuda br.0559-2020 / 11.06.2020";"1";63.04;0;78.8;"580246715"
"36";"Midas Network d.o.o.";"RTL Hrvatska d.o.o. za usluge - rtl.hr";"44561205245";"Krapinska 45, Zagreb";"Ponuda br.0559-2020 / 11.06.2020";"1";38.2;0;47.75;"580246715"
"37";"Midas Network d.o.o.";"RTL Hrvatska d.o.o. za usluge - sib.net.hr";"44561205245";"Krapinska 45, Zagreb";"Ponuda br.0559-2020 / 11.06.2020";"1";151.28;0;189.1;"580246715"
"38";"Midas Network d.o.o.";"RTL Hrvatska d.o.o. za usluge - varazdinski.net.hr";"44561205245";"Krapinska 45, Zagreb";"Ponuda br.0559-2020 / 11.06.2020";"1";32.97;0;41.21;"580246715"
"39";"Midas Network d.o.o.";"RTL Hrvatska d.o.o. za usluge - vijesti.rtl.hr";"44561205245";"Krapinska 45, Zagreb";"Ponuda br.0559-2020 / 11.06.2020";"1";397;0;496.25;"580246715"
"40";"Midas Network d.o.o.";"Singar d.o.o. - 7dnevno.hr";"44561205245";"Tomislavova 11, Zagreb";"Ponuda br.0559-2020 / 11.06.2020";"1";13.57;0;16.96;"580246715"
"41";"Midas Network d.o.o.";"Sjeverni pol d.o.o. - dalmatinskiportal.hr";"44561205245";"Zrinsko-frankopanska 211, Split";"Ponuda br.0559-2020 / 11.06.2020";"1";277.29;0;346.61;"580246715"
"42";"Midas Network d.o.o.";"Studio Boja (Za Zg portal Zagreb) - ZGportal Zagreb";"44561205245";"Ulica Božidara Magovca 15, Zagreb";"Ponuda br.0559-2020 / 11.06.2020";"1";0.1;0;0.13;"580246715"
"43";"Midas Network d.o.o.";"Telegram media grupa d.o.o. - telegram.hr";"44561205245";"Pavletićeva 1, Zagreb";"Ponuda br.0559-2020 / 11.06.2020";"2";797.26;0;996.58;"580246715"
"44";"Midas Network d.o.o.";"Udruga priznajem - priznajem.hr";"44561205245";"Nas. Andrije Hebranga 8/19, Slavonski Brod";"Ponuda br.0559-2020 / 11.06.2020";"2";455.06;0;568.83;"580246715"
"45";"Midas Network d.o.o.";"Udruga u ime obitelji - narod.hr";"44561205245";"Vankina ulica 2, Zagreb";"Ponuda br.0559-2020 / 11.06.2020";"1";72.32;0;90.4;"580246715"
"46";"Midas Network d.o.o.";"Udruga za promicanje lokalne uprave i samouprave (PLUS) - sbplus.hr";"44561205245";"Šetalište Braće Radić 5, Slavonski Brod";"Ponuda br.0559-2020 / 11.06.2020";"1";33.36;0;41.7;"580246715"
"47";"Midas Network d.o.o.";"Varaždinske vijesti d.d. - varazdinske-vijesti.hr";"44561205245";"Supilova 7b,p.p.33, Varaždin";"Ponuda br.0559-2020 / 11.06.2020";"1";7.07;0;8.84;"580246715"
"48";"Midas Network d.o.o.";"Video media d.o.o. - klik.hr";"44561205245";"Južna obala VI 15, Zagreb";"Ponuda br.0559-2020 / 11.06.2020";"1";56.6;0;70.75;"580246715"
"49";"Midas Network d.o.o.";"Zagorje International d.o.o. za informiranje - zagorje-international.hr";"44561205245";"Kardinala Stepinca 2, Krapina";"Ponuda br.0559-2020 / 11.06.2020";"1";4.96;0;6.2;"580246715"
"50";"Midas Network d.o.o.";"Zagrebački list d.o.o. - zagrebacki.hr";"44561205245";"Ilica 251, Zagreb";"Ponuda br.0559-2020 / 11.06.2020";"1";0.26;0;0.32;"580246715"
"51";"Osječka televizija - OAR d.o.o.";"Osječka televizija - OAR d.o.o.";"26045420112";"Ulica Sv.Leopolda B. Mandića 50a, Osijek";"Ponuda br.36/20 / 16.06.2020";"2";2000;0;2500;"580246715"
